2026-04-16 17:54:47 | INFO     | healthrx | startup_event:37 | HealthRx API starting up...
2026-04-16 17:56:59 | INFO     | healthrx | shutdown_event:41 | HealthRx API shutting down...
2026-04-16 17:58:04 | INFO     | healthrx | startup_event:37 | HealthRx API starting up...
2026-04-16 18:00:49 | INFO     | healthrx | shutdown_event:41 | HealthRx API shutting down...
2026-04-16 18:02:50 | INFO     | healthrx | startup_event:50 | HealthRx API starting up...
2026-04-16 18:03:43 | INFO     | healthrx | shutdown_event:54 | HealthRx API shutting down...
2026-04-16 18:03:45 | INFO     | healthrx | startup_event:39 | HealthRx API starting up...
2026-04-16 18:03:45 | INFO     | healthrx | shutdown_event:43 | HealthRx API shutting down...
2026-04-16 18:03:48 | INFO     | healthrx | startup_event:39 | HealthRx API starting up...
2026-04-16 18:06:02 | INFO     | healthrx | shutdown_event:43 | HealthRx API shutting down...
2026-04-16 18:07:13 | INFO     | healthrx | startup_event:39 | HealthRx API starting up...
2026-04-16 18:07:25 | INFO     | healthrx | shutdown_event:43 | HealthRx API shutting down...
2026-04-16 18:13:42 | INFO     | healthrx | startup_event:39 | HealthRx API starting up...
2026-04-16 18:21:12 | INFO     | healthrx | shutdown_event:43 | HealthRx API shutting down...
2026-04-16 18:41:37 | INFO     | healthrx | startup_event:39 | HealthRx API starting up...
2026-04-16 18:41:39 | INFO     | healthrx | shutdown_event:43 | HealthRx API shutting down...
2026-04-16 18:41:45 | INFO     | healthrx | startup_event:39 | HealthRx API starting up...
2026-04-16 18:44:31 | INFO     | healthrx | shutdown_event:43 | HealthRx API shutting down...
2026-04-16 18:49:58 | INFO     | healthrx | startup_event:39 | HealthRx API starting up...
2026-04-16 18:51:33 | INFO     | healthrx | shutdown_event:43 | HealthRx API shutting down...
2026-04-16 18:51:36 | INFO     | healthrx | startup_event:44 | HealthRx API starting up...
2026-04-16 18:51:51 | INFO     | healthrx | shutdown_event:48 | HealthRx API shutting down...
2026-04-16 18:51:53 | INFO     | healthrx | startup_event:45 | HealthRx API starting up...
2026-04-16 18:51:54 | INFO     | healthrx | shutdown_event:49 | HealthRx API shutting down...
2026-04-16 18:51:59 | INFO     | healthrx | startup_event:45 | HealthRx API starting up...
2026-04-16 18:53:17 | INFO     | healthrx | shutdown_event:49 | HealthRx API shutting down...
2026-04-16 18:58:04 | INFO     | healthrx | startup_event:45 | HealthRx API starting up...
2026-04-16 18:58:50 | INFO     | healthrx | shutdown_event:49 | HealthRx API shutting down...
2026-04-16 18:58:59 | INFO     | healthrx | startup_event:45 | HealthRx API starting up...
2026-04-16 19:06:54 | INFO     | healthrx | shutdown_event:49 | HealthRx API shutting down...
2026-04-16 19:13:55 | INFO     | healthrx | startup_event:45 | HealthRx API starting up...
2026-04-16 19:19:10 | INFO     | healthrx | shutdown_event:49 | HealthRx API shutting down...
2026-04-16 19:20:30 | INFO     | healthrx | startup_event:45 | HealthRx API starting up...
2026-04-16 19:20:35 | INFO     | healthrx | shutdown_event:49 | HealthRx API shutting down...
2026-04-16 19:20:53 | INFO     | healthrx | startup_event:45 | HealthRx API starting up...
2026-04-16 19:22:30 | INFO     | healthrx | shutdown_event:49 | HealthRx API shutting down...
2026-04-16 19:28:19 | INFO     | healthrx | startup_event:45 | HealthRx API starting up...
2026-04-16 19:28:50 | INFO     | healthrx | shutdown_event:49 | HealthRx API shutting down...
2026-04-16 19:28:50 | INFO     | healthrx | startup_event:47 | HealthRx API starting up...
2026-04-16 19:28:53 | INFO     | healthrx | shutdown_event:51 | HealthRx API shutting down...
2026-04-16 19:28:55 | INFO     | healthrx | startup_event:47 | HealthRx API starting up...
2026-04-16 19:30:14 | INFO     | healthrx | shutdown_event:51 | HealthRx API shutting down...
2026-04-16 19:31:08 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:31:11 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:31:16 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:32:17 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:32:18 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:32:35 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:32:37 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:34:50 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:34:52 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:37:12 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:37:14 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:37:17 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:37:21 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:39:35 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:39:37 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:39:37 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:39:41 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:40:32 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:40:34 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:40:34 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:40:38 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:44:12 | ERROR    | healthrx | health_check:107 | Health check failed: 'Settings' object has no attribute 'API_VERSION'
2026-04-16 19:45:26 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:45:28 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:45:29 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:45:33 | INFO     | healthrx | startup_event:59 | HealthRx API starting up...
2026-04-16 19:47:47 | INFO     | healthrx | shutdown_event:63 | HealthRx API shutting down...
2026-04-16 19:52:31 | INFO     | healthrx | shutdown_event:52 | HealthRx API shutting down...
2026-04-16 19:53:19 | INFO     | healthrx | shutdown_event:52 | HealthRx API shutting down...
2026-04-16 19:56:25 | INFO     | healthrx | shutdown_event:52 | HealthRx API shutting down...
2026-04-16 20:01:12 | INFO     | healthrx | shutdown_event:52 | HealthRx API shutting down...
2026-04-16 20:01:27 | INFO     | healthrx | shutdown_event:52 | HealthRx API shutting down...
2026-04-16 20:01:33 | INFO     | healthrx | shutdown_event:52 | HealthRx API shutting down...
2026-04-16 20:17:37 | INFO     | healthrx | train:33 | 📂 Loading training data from: D:\HealthRx\data\symptoms.csv
2026-04-16 20:17:40 | INFO     | healthrx | train:33 | 📂 Loading training data from: D:\HealthRx\data\symptoms.csv
2026-04-16 20:19:36 | INFO     | healthrx | train:33 | 📂 Loading training data from: D:\HealthRx\data\symptoms.csv
2026-04-16 20:19:37 | INFO     | healthrx | train:33 | 📂 Loading training data from: D:\HealthRx\data\symptoms.csv
2026-04-16 20:19:38 | INFO     | healthrx | train:33 | 📂 Loading training data from: D:\HealthRx\data\symptoms.csv
2026-04-16 20:20:07 | INFO     | healthrx | train:33 | 📂 Loading training data from: D:\HealthRx\data\symptoms.csv
